yas,gelir,abonelik_suresi,destek_talebi_sayisi,sehir,uyelik_tipi,churn
22,60989.7,54,1,İstanbul,Premium,0
59,47355.73,113,0,İzmir,Standart,1
52,42620.48,19,5,İzmir,Temel,0
41,29465.19,18,1,İstanbul,Temel,0
40,19879.76,56,4,Ankara,Temel,1
63,37705.38,62,1,Bursa,Temel,0
22,44193.26,83,0,İzmir,Standart,0
54,71518.95,49,6,Bursa,Premium,0
28,46954.12,110,2,Ankara,Standart,1
22,59741.09,57,0,Bursa,Temel,1
45,37510.57,16,2,İstanbul,Standart,0
69,27225.84,15,3,Ankara,Temel,0
56,30523.25,117,3,İstanbul,Premium,0
58,34121.61,17,2,Ankara,Temel,1
56,76927.05,114,2,,Standart,1
59,32679.2,34,4,İstanbul,Temel,1
45,57577.34,12,1,Bursa,Standart,1
24,,37,4,,Standart,0
62,58973.6,74,2,İstanbul,Premium,0
41,50774.26,52,1,İstanbul,Temel,1
44,42650.43,95,1,Ankara,Premium,0
37,44388.56,74,2,Ankara,Standart,1
27,35178.18,49,4,Ankara,Premium,1
67,51691.08,77,2,İstanbul,Premium,0
59,38175.25,117,5,Bursa,Premium,1
52,26615.91,50,1,Antalya,Temel,0
39,25830.94,19,2,Ankara,Temel,1
61,47588.82,50,4,İzmir,Temel,1
46,68686.37,101,5,Bursa,Temel,1
41,47399.87,27,1,Antalya,Standart,0
41,43220.43,114,4,İzmir,Premium,0
30,49287.39,71,1,Bursa,Premium,0
22,64590.03,73,0,Antalya,Standart,0
47,48290.74,39,1,Bursa,Standart,1
65,38836.09,111,2,Ankara,Premium,0
21,61594.33,5,0,İstanbul,Premium,1
63,51431.35,36,0,İstanbul,Temel,0
61,68036.34,51,1,Ankara,Standart,0
32,47748.52,58,2,Ankara,Premium,0
51,26632.96,57,2,Ankara,Temel,0
26,24477.61,18,0,İzmir,Standart,0
58,69763.92,28,1,İzmir,Premium,0
55,70854.99,12,2,Bursa,Premium,0
36,42307.21,69,3,İstanbul,Premium,0
21,39252.19,43,1,İstanbul,Premium,0
69,66921.66,68,2,Bursa,Temel,0
41,28394.31,71,2,Bursa,Temel,1
65,31579.09,85,2,Antalya,Standart,0
53,54649.9,66,0,Bursa,Standart,1
59,39080.92,78,1,Bursa,Standart,0
58,44923.17,71,0,Ankara,Standart,1
28,42548.36,79,1,Ankara,Standart,1
37,50063.62,74,0,İstanbul,Standart,0
42,66112.23,38,2,İzmir,Temel,0
44,46358.77,30,2,Antalya,Temel,1
20,54659.08,95,2,Ankara,Temel,1
46,,42,4,İzmir,Temel,1
26,44269.22,66,4,İstanbul,Premium,0
57,32351.55,24,2,İstanbul,Standart,1
54,26717.8,52,1,İstanbul,Temel,0
66,31827.71,64,0,İstanbul,Premium,0
57,39988.15,76,0,Antalya,Standart,0
37,58738.54,64,1,Ankara,Temel,0
69,25104.11,44,1,Bursa,Temel,1
39,45459.47,116,4,İzmir,Temel,1
35,37737.46,62,0,İstanbul,Standart,0
65,40084.9,97,1,İstanbul,Temel,0
37,60041.37,89,1,Bursa,Temel,0
22,53071.73,67,1,İstanbul,Temel,1
42,65060.97,107,0,Antalya,Standart,0
60,42682.41,16,2,İstanbul,Temel,0
28,34560.86,111,4,İzmir,Premium,1
42,41642.12,103,0,Bursa,Temel,0
24,48637.45,61,2,İstanbul,Standart,0
54,47648.6,89,1,İstanbul,Standart,0
43,28734.18,63,2,Antalya,Standart,1
35,46357.35,33,2,İstanbul,Temel,0
30,48423.42,96,3,Ankara,Premium,0
47,82762.11,30,4,Ankara,Premium,0
53,73152.67,38,3,İstanbul,Temel,0
67,32201.35,63,3,Bursa,Temel,1
41,40689.25,101,2,Bursa,Premium,1
26,23048.37,47,3,Ankara,Standart,0
62,36139.39,60,3,Bursa,Temel,0
51,49734.08,5,4,İstanbul,,1
55,63087.8,14,3,İstanbul,Standart,0
23,34063.74,7,2,İzmir,Standart,1
34,35187.8,9,4,Antalya,Standart,0
58,12790.66,105,2,İstanbul,Premium,0
62,42560.01,102,3,İstanbul,Standart,0
41,29063.78,99,1,İzmir,Temel,0
60,37058.41,7,1,Bursa,Standart,0
62,31847.09,10,1,İstanbul,Temel,0
38,,34,2,Ankara,Temel,1
65,18634.07,68,0,İzmir,Temel,0
33,22994.32,41,3,Ankara,Temel,0
30,76938.71,59,1,İstanbul,Standart,0
54,25688.66,21,1,İstanbul,Temel,0
51,28548.22,88,0,Ankara,Standart,0
25,72553.7,38,4,Ankara,Standart,0
62,88576.01,8,1,Bursa,Standart,0
28,27426.5,90,6,İzmir,Premium,0
60,39476.27,109,1,İzmir,Premium,1
18,50123.33,2,1,Antalya,Standart,1
60,70930.46,53,3,Ankara,Temel,1
59,30197.14,100,1,Ankara,Standart,0
59,41320.83,85,3,Antalya,Standart,0
53,56660.06,103,2,İstanbul,Temel,0
42,51521.49,50,3,İzmir,Temel,0
55,39357.66,45,1,Bursa,Temel,0
32,42992.66,86,2,İstanbul,Standart,0
59,24376.56,19,2,Ankara,Standart,0
47,41427.39,29,4,İstanbul,Temel,1
42,41004.19,73,1,İstanbul,Premium,0
44,48482.55,81,2,Ankara,Premium,0
48,36670.09,15,3,İstanbul,Temel,1
19,52073.08,61,2,Bursa,Premium,0
25,60190.74,44,0,Antalya,Temel,0
31,47331.44,61,3,Bursa,Premium,0
24,50276.35,116,1,İstanbul,Premium,0
41,45797.33,10,1,,Temel,1
53,45001.27,120,0,İstanbul,Premium,0
52,34176.63,54,3,İstanbul,Premium,0
42,,93,2,Antalya,Premium,1
63,43540.7,51,4,Ankara,Premium,0
47,76397.52,38,2,İstanbul,Standart,1
22,68600.32,93,3,Bursa,Temel,1
58,50787.7,83,3,Ankara,Premium,0
48,33554.14,18,1,İstanbul,Standart,0
51,28313.83,85,2,İstanbul,Standart,0
47,62867.14,91,1,İzmir,Standart,1
47,48941.24,47,1,Bursa,Standart,0
22,52202.15,112,2,İstanbul,Temel,0
47,18831.21,77,3,Antalya,Standart,0
60,58911.58,41,3,Bursa,Temel,1
34,,2,2,Bursa,Standart,1
49,28343.54,81,5,İstanbul,Premium,0
19,37927.13,26,2,İstanbul,Standart,1
36,48955.76,91,3,Bursa,Standart,1
41,45787.0,64,3,Ankara,Temel,1
70,40617.43,57,2,İzmir,Premium,0
29,43447.68,20,0,Bursa,Standart,0
32,41220.34,86,0,,Temel,1
39,47288.44,20,3,Bursa,Temel,0
70,67072.38,51,1,Antalya,Temel,0
